n,k,gamma,mu,a,cost
0,0,0.1,1,nan,0
0,1,0.1,1,nan,0.1
0,2,0.1,1,nan,1.1
0,3,0.1,1,nan,3
0,4,0.1,1,nan,5.8
0,5,0.1,1,nan,9.5
0,6,0.1,1,nan,14.1
0,7,0.1,1,nan,19.6
0,8,0.1,1,nan,26
0,9,0.1,1,nan,33.3
0,10,0.1,1,nan,41.5
0,11,0.1,1,nan,50.6
0,12,0.1,1,nan,60.6
0,13,0.1,1,nan,71.5
0,14,0.1,1,nan,83.3
0,15,0.1,1,nan,96
0,16,0.1,1,nan,109.6
0,17,0.1,1,nan,124.1
0,18,0.1,1,nan,139.5
0,19,0.1,1,nan,155.8
0,20,0.1,1,nan,173
1,0,0.1,1,0,0.1
1,1,0.1,1,2.302532542,0.430258509
1,2,0.1,1,3.651034628,1.433094591
1,3,0.1,1,4.667556072,3.247135341
1,4,0.1,1,5.560402468,5.87934841
1,5,0.1,1,6.407520678,9.330258567
1,6,0.1,1,7.238791271,13.60062301
1,7,0.1,1,8.065862995,18.69184676
1,8,0.1,1,8.893380988,24.60571273
1,9,0.1,1,9.723310079,31.34415692
1,10,0.1,1,10.55627069,38.90913799
1,11,0.1,1,11.3925758,47.30256882
1,12,0.1,1,12.23221785,56.52628346
1,13,0.1,1,13.07497841,66.5820231
1,14,0.1,1,13.92076976,77.4714324
1,15,0.1,1,14.76948726,89.19606111
1,16,0.1,1,15.62084534,101.7573684
1,17,0.1,1,16.47475152,115.1567285
1,18,0.1,1,17.33109558,129.3954363
1,19,0.1,1,18.18969422,144.4747138
2,0,0.1,1,0,0.430258509
2,1,0.1,1,2.305364265,0.760800226
2,2,0.1,1,3.632596816,1.761445583
2,3,0.1,1,4.628024353,3.571581143
2,4,0.1,1,5.500510006,6.197402877
2,5,0.1,1,6.328426831,9.639102369
2,6,0.1,1,7.141635684,13.89735642
2,7,0.1,1,7.951499872,18.9736157
2,8,0.1,1,8.76254839,24.86976568
2,9,0.1,1,9.576627046,31.58786795
2,10,0.1,1,10.39431515,39.13001319
2,11,0.1,1,11.21577386,47.4982448
2,12,0.1,1,12.04091969,56.69452192
2,13,0.1,1,0,77.4714324
2,14,0.1,1,0,89.19606111
2,15,0.1,1,0,101.7573684
2,16,0.1,1,0,115.1567285
2,17,0.1,1,0,129.3954363
2,18,0.1,1,0,144.4747138
3,0,0.1,1,0,0.760800226
3,1,0.1,1,2.3031775,1.09112325
3,2,0.1,1,3.629670881,2.091615153
3,3,0.1,1,4.624410558,3.901494904
3,4,0.1,1,5.496325361,6.526949091
3,5,0.1,1,6.323648989,9.968169278
3,6,0.1,1,7.136298712,14.22583601
3,7,0.1,1,7.945628596,19.30140475
3,8,0.1,1,8.756181381,25.19676594
3,9,0.1,1,9.569726536,31.9139861
3,10,0.1,1,10.38688194,39.45516071
3,11,0.1,1,11.20781659,47.82233773
3,12,0.1,1,12.0326962,57.01754462
3,13,0.1,1,12.86174122,67.04284215
3,14,0.1,1,13.69536755,77.90034553
3,15,0.1,1,14.5340027,89.59220225
3,16,0.1,1,15.377957,102.1205427
3,17,0.1,1,16.22731809,115.4874244
4,0,0.1,1,0,1.09112325
4,1,0.1,1,2.303024516,1.421430938
4,2,0.1,1,3.629470671,2.421912546
4,3,0.1,1,4.62416972,4.231775644
4,4,0.1,1,5.496053419,6.857206666
4,5,0.1,1,6.323344359,10.29839762
4,6,0.1,1,7.135971255,14.55602963
4,7,0.1,1,7.945296517,19.63155869
4,8,0.1,1,8.755824285,25.52687572
4,9,0.1,1,9.569325778,32.24404765
4,10,0.1,1,10.38645403,39.78517027
4,11,0.1,1,11.2074039,48.15229187
4,12,0.1,1,12.03203698,57.34737623
4,13,0.1,1,0,77.90034553
4,14,0.1,1,0,89.59220225
4,15,0.1,1,0,102.1205427
4,16,0.1,1,0,115.4874244
5,0,0.1,1,0,1.421430938
